time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-09-02T20:00:12.800Z,-27.9218,-176.6585,56.73,5.2,mb,,71,1.728,0.97,us,usc000s93k,2014-09-03T20:44:10.520Z,"192km NE of Raoul Island, New Zealand",earthquake
2014-09-02T19:28:34.040Z,51.6938,178.5499,98.44,4.5,mb,,151,0.565,0.79,us,usc000s92n,2014-09-03T18:54:26.334Z,"28km S of Little Sitkin Island, Alaska",earthquake
2014-09-02T18:39:40.580Z,-10.1653,111.1428,34.99,4.5,mb,,107,2.32,0.87,us,usc000s91n,2014-09-03T18:12:43.552Z,"210km S of Ngulung Wetan, Indonesia",earthquake
2014-09-02T17:04:47.320Z,-22.9591,-176.5034,169.1,4.8,mb,,116,7.278,0.6,us,usc000s90i,2014-09-03T17:40:18.272Z,"236km SW of Vaini, Tonga",earthquake
2014-09-02T13:55:04.330Z,64.5494,-17.4004,8.17,4.5,mb,,75,1.701,0.76,us,usc000s8x0,2014-09-02T21:57:36.606Z,"110km WNW of Hofn, Iceland",earthquake
2014-09-02T12:39:14.440Z,36.077,69.9987,114.55,4.7,mb,,70,1.145,1.23,us,usc000s8wt,2014-09-02T20:41:44.342Z,"56km SSE of Farkhar, Afghanistan",earthquake
2014-09-02T11:26:54.760Z,64.7171,-17.1226,10,4.5,mb,,108,6.077,1.12,us,usc000s8wn,2014-09-02T19:29:37.120Z,"105km WNW of Hofn, Iceland",earthquake
2014-09-02T07:39:04.440Z,40.2875,72.4721,23.54,4.8,mb,,53,1.286,1.14,us,usc000s8w0,2014-09-02T15:41:42.716Z,"24km E of Karavan, Kyrgyzstan",earthquake
2014-09-02T04:02:56.530Z,27.0172,143.6554,10,4.7,mb,,104,1.314,1.01,us,usc000s8v7,2014-09-02T12:05:22.013Z,"142km E of Chichi-shima, Japan",earthquake
2014-09-01T22:55:22.180Z,-15.0882,-74.9747,61.53,5.2,mb,,121,5.664,0.71,us,usc000s8ty,2014-09-02T18:16:17.000Z,"19km NE of Minas de Marcona, Peru",earthquake
2014-09-01T22:12:00.720Z,-48.8362,106.5885,10,4.6,mb,,127,21.033,0.58,us,usc000s8td,2014-09-02T06:14:28.348Z,"Southeast Indian Ridge",earthquake
2014-09-01T18:58:34.940Z,-9.3825,106.9372,32.99,5.1,mb,,52,1.671,1.07,us,usc000s8s3,2014-09-02T03:01:01.073Z,"179km NE of Flying Fish Cove, Christmas Island",earthquake
2014-09-01T12:11:29.020Z,-12.2398,167.135,259.3,4.7,mb,,57,3.188,0.88,us,usc000s8p5,2014-09-01T20:14:05.479Z,"187km NNW of Sola, Vanuatu",earthquake
2014-09-01T11:41:10.810Z,64.6431,-17.4059,7.07,5.2,mb,,63,1.688,1.15,us,usc000s8ny,2014-09-04T15:53:55.000Z,"114km WNW of Hofn, Iceland",earthquake
2014-09-01T11:34:42.340Z,10.3869,-63.5919,10,4.6,mb,,109,2.573,0.62,us,usc000s8nw,2014-09-02T18:06:27.300Z,"12km SSW of Cariaco, Venezuela",earthquake
2014-09-01T09:07:13.570Z,12.1182,-87.9074,46.73,4.6,mb,,149,1.03,0.68,us,usc000s8nh,2014-09-01T17:09:51.615Z,"85km SW of Jiquilillo, Nicaragua",earthquake
2014-09-01T08:58:13.590Z,64.5643,-17.8165,6.34,4.9,mb,,40,1.521,1.11,us,usc000s8ng,2014-09-01T17:01:04.687Z,"125km S of Akureyri, Iceland",earthquake
2014-09-01T04:24:15.760Z,-24.9507,-175.7849,10,5.2,mb,,105,4.684,1.01,us,usc000s8mi,2014-09-01T12:26:53.309Z,"South of Tonga",earthquake
2014-09-01T02:49:48.450Z,19.343,121.7165,59.99,5,mb,,98,3.507,0.65,us,usc000s8m8,2014-09-01T10:52:17.978Z,"99km NE of Namuac, Philippines",earthquake
2014-08-31T20:33:17.030Z,-32.8008,-72.2377,10,4.8,mb,,137,1.03,1.18,us,usc000s8k6,2014-09-01T15:26:29.000Z,"62km WNW of Valparaiso, Chile",earthquake
2014-08-31T18:51:43.190Z,-19.3019,-173.521,35,4.8,mb,,112,3.403,0.59,us,usc000s8jd,2014-09-01T03:23:21.111Z,"87km SE of Neiafu, Tonga",earthquake
2014-08-31T18:00:46.060Z,27.476,142.6829,45.09,4.6,mb,,162,0.583,0.99,us,usc000s8im,2014-09-01T02:20:25.041Z,"63km NE of Chichi-shima, Japan",earthquake
2014-08-31T17:54:38.320Z,-11.8497,166.6549,121.24,5,mb,,118,3.615,0.55,us,usc000s8ik,2014-09-01T02:20:28.803Z,"154km SE of Lata, Solomon Islands",earthquake
2014-08-31T16:15:49.670Z,-62.6753,165.3626,10,4.9,mb,,120,14.96,0.57,us,usc000s8i2,2014-09-01T00:18:31.679Z,"Balleny Islands region",earthquake
2014-08-31T16:12:34.850Z,64.6494,-17.5174,7.76,4.7,mb,,34,1.639,0.55,us,usc000s8hy,2014-09-01T00:15:51.908Z,"118km SSE of Akureyri, Iceland",earthquake
2014-08-31T15:07:18.850Z,33.6031,45.7411,10,4.5,mb,,54,5.178,0.73,us,usc000s8hn,2014-08-31T23:15:45.895Z,"23km SE of Mandali, Iraq",earthquake
2014-08-31T14:44:34.250Z,33.6534,45.7891,10,5,mb,,70,5.148,0.7,us,usc000s8hi,2014-08-31T22:47:13.237Z,"24km ESE of Mandali, Iraq",earthquake
2014-08-31T13:55:04.410Z,13.0143,-88.6635,77.46,4.6,mb,,70,0.867,0.83,us,usc000s8h6,2014-08-31T21:57:32.428Z,"32km SSW of Puerto El Triunfo, El Salvador",earthquake
2014-08-31T13:48:47.120Z,12.1483,-87.8625,46.86,4.7,mb,,98,0.977,0.87,us,usc000s8h5,2014-08-31T21:51:15.661Z,"79km SW of Jiquilillo, Nicaragua",earthquake
2014-08-31T12:01:47.960Z,64.7232,-17.3895,7.45,5.1,mb,,96,1.689,0.98,us,usc000s8gd,2014-08-31T20:04:15.908Z,"111km SSE of Akureyri, Iceland",earthquake
2014-08-31T11:48:24.490Z,36.5689,70.9664,200.19,5.1,mb,,36,0.637,1.11,us,usc000s8gb,2014-08-31T14:16:51.615Z,"34km SSE of Jarm, Afghanistan",earthquake
2014-08-31T10:01:40.320Z,9.2707,-83.9139,35,4.9,mb,,135,0.752,1.5,us,usc000s8fq,2014-09-01T04:17:27.631Z,"25km WSW of San Isidro, Costa Rica",earthquake
2014-08-31T04:14:05.260Z,-53.2268,-32.3276,10,5.1,mb,,46,2.687,0.66,us,usc000s8dv,2014-08-31T12:16:46.296Z,"299km ENE of Grytviken, South Georgia and the South Sandwich Islands",earthquake
2014-08-31T03:18:07.530Z,-15.2805,167.3812,145.98,5,mb,,56,6.812,0.64,us,usc000s8cy,2014-08-31T11:20:40.456Z,"36km NE of Luganville, Vanuatu",earthquake
2014-08-31T03:06:57.000Z,65.1551,-148.9831,15.5,5.1,ml,,,,0.92,ak,ak11372783,2014-09-04T18:35:14.994Z,"60km NW of Ester, Alaska",earthquake
2014-08-31T02:15:03.090Z,47.0071,152.0412,119.52,4.8,mb,,112,6.35,0.66,us,usc000s8ct,2014-09-04T05:11:06.266Z,"Kuril Islands",earthquake
2014-08-31T00:10:16.720Z,71.603,-2.8488,10,4.5,mb,,25,6.315,1.07,us,usc000s8ce,2014-08-31T08:12:51.802Z,"223km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake
2014-08-30T22:29:52.710Z,-44.3661,-82.0369,10,4.8,mb,,103,7.289,0.95,us,usc000s8c8,2014-08-31T00:22:39.083Z,"West Chile Rise",earthquake
2014-08-30T20:44:28.750Z,37.0298,141.3285,54.97,4.5,mb,,143,2.554,0.78,us,usc000s8bu,2014-08-31T04:47:02.465Z,"39km E of Iwaki, Japan",earthquake
2014-08-30T20:42:29.310Z,37.6291,142.3365,10,4.5,mb,,128,3.476,0.98,us,usc000s8bz,2014-08-31T04:45:30.064Z,"119km E of Namie, Japan",earthquake
2014-08-30T15:29:50.130Z,43.7011,-28.4929,10,5.3,mb,,29,4.979,1.05,us,usc000s8ai,2014-09-04T15:53:53.000Z,"Northern Mid-Atlantic Ridge",earthquake
2014-08-30T14:27:31.950Z,-7.7098,121.5066,303.86,4.6,mb,,71,1.17,1.12,us,usc000s8ac,2014-08-30T22:30:13.417Z,"89km NNE of Nanganumba, Indonesia",earthquake
2014-08-30T13:25:27.470Z,-15.7945,168.3075,269.69,4.5,mb,,193,6.487,0.96,us,usc000s8a7,2014-08-30T21:28:12.848Z,"101km ENE of Lakatoro, Vanuatu",earthquake
2014-08-30T12:18:58.840Z,27.4398,142.7309,40.94,4.7,mb,,135,0.595,0.69,us,usc000s8a2,2014-08-30T20:21:40.519Z,"64km NE of Chichi-shima, Japan",earthquake
2014-08-30T12:00:25.880Z,49.7682,149.2198,496.21,4.5,mb,,91,5.141,0.81,us,usc000s89y,2014-08-30T20:02:59.905Z,"97km NNE of Vostok, Russia",earthquake
2014-08-30T10:31:45.130Z,11.4625,-85.3307,10,4.6,mb,,71,0.907,0.81,us,usc000s89k,2014-09-01T17:53:09.609Z,"29km ESE of Altagracia, Nicaragua",earthquake
2014-08-30T07:03:05.910Z,64.5667,-17.3089,10,5.3,mb,,44,6.202,1.22,us,usc000s88v,2014-08-30T15:12:04.000Z,"107km WNW of Hofn, Iceland",earthquake
2014-08-30T05:26:20.320Z,3.159,128.1716,81.62,4.5,mb,,110,2.504,1,us,usc000s88h,2014-08-30T13:28:55.858Z,"159km N of Tobelo, Indonesia",earthquake
2014-08-29T23:54:44.870Z,29.8099,138.8928,415.07,4.5,mb,,65,3.387,0.58,us,usc000s873,2014-08-30T07:57:17.323Z,"Izu Islands, Japan region",earthquake
2014-08-29T23:33:45.920Z,42.5988,143.9806,66.42,4.6,mb,,143,0.844,0.42,us,usc000s871,2014-08-30T07:36:16.518Z,"52km SW of Kushiro, Japan",earthquake
2014-08-29T22:38:29.920Z,-17.8574,-178.4622,595.58,4.5,mb,,73,3.322,0.89,us,usc000s86m,2014-08-30T06:41:31.951Z,"279km SE of Lambasa, Fiji",earthquake
2014-08-29T21:16:44.060Z,-41.9297,84.7491,10,5.5,mwb,,73,44.507,0.88,us,usc000s88k,2014-09-04T15:53:52.000Z,"Southeast Indian Ridge",earthquake
2014-08-29T18:37:30.030Z,65.6285,-122.6548,5,4.6,mwr,,31,3.776,0.91,us,usc000s84p,2014-08-30T21:28:05.906Z,"197km ENE of Norman Wells, Canada",earthquake
2014-08-29T17:13:30.510Z,47.4186,156.0654,24.26,4.7,mb,,113,5.791,0.71,us,usc000s83y,2014-08-30T13:38:21.992Z,"East of the Kuril Islands",earthquake
2014-08-29T13:33:39.520Z,36.8753,143.4209,29.38,4.5,mb,,154,4.201,0.74,us,usc000s807,2014-08-30T15:28:45.465Z,"225km ESE of Namie, Japan",earthquake
2014-08-29T13:14:09.220Z,-5.6357,154.0671,69.47,5.1,mb,,37,2.378,0.91,us,usc000s801,2014-08-29T21:16:38.759Z,"172km SE of Taron, Papua New Guinea",earthquake
2014-08-29T12:21:49.340Z,64.7705,-17.3355,7.49,5.2,mb,,73,6.001,1,us,usc000s7zs,2014-08-29T20:24:17.907Z,"107km SSE of Akureyri, Iceland",earthquake
2014-08-29T07:35:09.790Z,36.9078,141.1776,35,4.9,mb,,126,2.412,0.97,us,usc000s7xk,2014-08-29T15:42:18.516Z,"30km ESE of Iwaki, Japan",earthquake
2014-08-29T06:14:33.180Z,22.2824,143.8642,100.24,4.5,mb,,125,5.029,0.94,us,usc000s7xb,2014-08-29T14:19:48.349Z,"220km NNW of Farallon de Pajaros, Northern Mariana Islands",earthquake
2014-08-29T03:45:06.670Z,36.7383,23.7572,91.85,5.6,mb,,39,1.418,1.15,us,usc000s7wh,2014-09-04T15:53:51.000Z,"60km W of Adamas, Greece",earthquake
2014-08-29T03:18:35.780Z,-28.0767,-178.4896,258.37,4.7,mb,,75,1.263,1.1,us,usc000s7wc,2014-08-29T11:21:06.838Z,"143km NNW of Raoul Island, New Zealand",earthquake
2014-08-29T01:04:03.690Z,39.1743,71.5815,37.14,4.8,mb,,36,2.193,1.29,us,usc000s7vg,2014-08-29T09:06:35.608Z,"8km SE of Karakenja, Tajikistan",earthquake
2014-08-28T19:14:35.830Z,32.0911,132.1014,22.28,5.8,mwb,,38,1.459,1.7,us,usc000s7q8,2014-09-04T15:53:49.000Z,"56km E of Takanabe, Japan",earthquake
2014-08-28T13:25:57.370Z,-22.9779,69.1439,10,4.8,mb,,102,12.558,0.82,us,usc000s7lx,2014-08-29T05:41:30.948Z,"Mid-Indian Ridge",earthquake
2014-08-28T08:27:45.900Z,14.2489,-91.8113,66.28,5.2,mb,,124,0.293,1.2,us,usc000s7ku,2014-08-31T23:57:16.887Z,"12km ESE of Champerico, Guatemala",earthquake
2014-08-28T08:13:43.740Z,64.6762,-17.239,10,5,mb,,77,1.757,1.15,us,usc000s7ks,2014-09-04T15:53:48.000Z,"108km WNW of Hofn, Iceland",earthquake
2014-08-28T06:23:09.230Z,-7.4514,128.4721,121.48,5.3,mb,,64,5.963,0.88,us,usc000s7ka,2014-08-29T05:42:12.652Z,"Kepulauan Barat Daya, Indonesia",earthquake
2014-08-27T23:53:46.690Z,64.6244,-17.6635,8.38,4.5,mb,,114,1.579,0.61,us,usc000s7ih,2014-08-29T05:40:05.219Z,"119km S of Akureyri, Iceland",earthquake
2014-08-27T23:11:35.220Z,-15.105,167.3262,118.66,5.8,mb,,32,0.36,1.14,us,usc000s7i5,2014-09-04T15:53:47.000Z,"30km ESE of Port-Olry, Vanuatu",earthquake
2014-08-27T22:16:39.340Z,3.7212,126.9557,50.45,4.6,mb,,135,2.958,0.71,us,usc000s7hm,2014-08-29T05:40:50.758Z,"249km NNW of Tobelo, Indonesia",earthquake
2014-08-27T21:01:32.677Z,40.3344,-119.5166,0,4.94,ml,4,210.77,2.201,,nn,nn00457564,2014-09-03T18:13:21.524Z,"29km SSW of Gerlach-Empire, Nevada",explosion
2014-08-27T16:31:13.520Z,-15.5867,-177.8341,10,5.4,mb,,37,4.488,0.57,us,usc000s7ew,2014-09-04T15:53:46.000Z,"146km SSE of Sigave, Wallis and Futuna",earthquake
2014-08-27T14:05:25.780Z,41.9292,82.4673,41.73,4.6,mb,,73,3.069,1.05,us,usc000s7e4,2014-08-29T05:41:48.028Z,"44km WNW of Kuqa, China",earthquake
2014-08-27T13:40:54.960Z,-17.9545,-69.5419,167.59,4.7,mb,,82,0.379,0.7,us,usc000s7dz,2014-08-29T05:40:37.069Z,"27km N of Putre, Chile",earthquake
2014-08-27T06:10:19.000Z,59.2225,-145.5733,12.3,4.8,ml,,,,1.02,ak,ak11369829,2014-08-29T05:42:37.454Z,"44km ESE of Middleton Island, Alaska",earthquake
2014-08-27T04:48:59.300Z,41.1146,143.1576,28.29,5.4,mb,,121,0.899,0.96,us,usc000s7br,2014-09-04T15:53:44.000Z,"150km SSE of Shizunai, Japan",earthquake
2014-08-27T02:50:39.600Z,64.6794,-17.0483,5,5.6,mwp,,69,6.122,0.76,us,usc000s7bm,2014-09-04T15:53:43.000Z,"100km WNW of Hofn, Iceland",earthquake
2014-08-27T00:16:30.790Z,64.5338,-17.4264,8.09,5.2,mb,,73,11.642,0.83,us,usc000s7al,2014-08-29T05:41:26.880Z,"111km WNW of Hofn, Iceland",earthquake
2014-08-26T23:58:29.990Z,-9.1882,125.7957,31.9,4.7,mb,,75,1.609,1.88,us,usc000s7ai,2014-08-29T05:40:20.315Z,"38km SE of Ainaro, East Timor",earthquake
2014-08-26T22:26:11.540Z,13.2045,51.0799,10,4.7,mb,,114,2.916,1.05,us,usc000s7a8,2014-08-29T05:39:10.328Z,"147km N of Bereeda, Somalia",earthquake
2014-08-26T20:53:33.450Z,2.4647,90.3046,13.66,4.5,mb,,163,7.173,0.67,us,usc000s79i,2014-08-29T05:40:15.384Z,"Off the west coast of northern Sumatra",earthquake
2014-08-26T18:16:28.780Z,-6.5901,155.0698,61.19,4.8,mb,,68,3.748,0.76,us,usc000s78l,2014-08-29T05:40:32.524Z,"54km WSW of Panguna, Papua New Guinea",earthquake
2014-08-26T13:59:34.070Z,-23.219,-67.1626,225.61,4.6,mb,,96,1.721,0.51,us,usb000s69i,2014-08-29T05:42:42.093Z,"113km ESE of San Pedro de Atacama, Chile",earthquake
2014-08-26T12:14:59.000Z,-8.8241,124.2055,108.69,4.8,mb,,64,0.927,1.4,us,usb000s696,2014-08-29T05:42:50.493Z,"75km NNW of Kefamenanu, Indonesia",earthquake
2014-08-26T09:30:12.630Z,-15.2322,-173.1501,10,5.6,mb,,48,1.869,1.28,us,usb000s67l,2014-09-04T15:53:42.000Z,"102km NE of Hihifo, Tonga",earthquake
2014-08-26T01:26:08.390Z,64.6653,-17.4995,5,5.7,mwp,,98,1.646,1.05,us,usb000s65z,2014-09-04T15:53:41.000Z,"116km SSE of Akureyri, Iceland",earthquake
2014-08-25T22:54:46.730Z,67.7027,142.5266,13.37,4.9,mb,,36,7.879,0.96,us,usb000s657,2014-08-26T00:13:15.452Z,"130km WSW of Druzhina, Russia",earthquake
2014-08-25T22:48:10.820Z,-20.6319,-177.2443,203.56,4.5,mb,,151,5.291,1.23,us,usb000s656,2014-08-26T00:16:42.325Z,"151km E of Ndoi Island, Fiji",earthquake
2014-08-25T21:32:10.930Z,67.8713,142.018,15.03,4.5,mb,,67,7.845,1.07,us,usb000s63i,2014-08-25T22:14:06.098Z,"142km WSW of Druzhina, Russia",earthquake
2014-08-25T16:19:04.480Z,64.4491,-17.8233,10.34,4.9,mb,,92,1.54,0.59,us,usb000s61f,2014-08-25T21:28:23.311Z,"128km W of Hofn, Iceland",earthquake
2014-08-25T14:31:36.720Z,-16.1982,-73.2015,59.13,5.7,mwb,,59,3.482,0.67,us,usb000s60y,2014-09-04T15:53:39.000Z,"70km NW of Camana, Peru",earthquake
2014-08-25T14:14:31.850Z,7.3612,126.6709,72.86,4.7,mb,,93,1.121,1.07,us,usb000s60w,2014-08-25T19:38:18.820Z,"11km ENE of Caraga, Philippines",earthquake
2014-08-25T11:56:43.280Z,-15.2513,-173.6446,10,4.7,mb,,84,2.246,0.75,us,usb000s60h,2014-08-25T13:13:41.751Z,"78km N of Hihifo, Tonga",earthquake
2014-08-25T07:31:43.140Z,29.8502,129.9061,105.88,4.7,mb,,73,3.368,0.63,us,usb000s5zz,2014-08-25T13:55:18.623Z,"143km SW of Nishinoomote, Japan",earthquake
2014-08-25T06:01:36.000Z,32.586,47.7833,10,4.8,mb,,123,6.891,1.11,us,usb000s5zv,2014-08-25T14:30:46.978Z,"49km ESE of Dehloran, Iran",earthquake
2014-08-25T01:42:42.630Z,-55.9483,-28.0078,103.8,5,mb,,59,5.145,0.82,us,usb000s5yn,2014-08-25T02:09:27.948Z,"97km NNW of Visokoi Island, ",earthquake
2014-08-25T00:04:15.740Z,-5.0101,151.4868,104.12,4.7,mb,,66,1.057,0.66,us,usb000s5xv,2014-08-25T00:32:26.398Z,"112km SW of Kokopo, Papua New Guinea",earthquake
2014-08-24T23:21:45.980Z,-14.5864,-73.5777,101,6.9,mww,,23,4.095,1.32,us,usb000s5x1,2014-09-04T15:53:38.000Z,"43km ENE of Tambo, Peru",earthquake
2014-08-24T21:45:44.290Z,46.4452,152.3556,76.37,4.6,mb,,134,6.619,0.87,us,usb000s5wm,2014-08-24T23:58:02.752Z,"Kuril Islands",earthquake
2014-08-24T20:39:13.590Z,64.5866,-17.3138,6.01,5.3,mb,,77,1.733,1.17,us,usb000s5wd,2014-08-27T22:16:00.000Z,"108km WNW of Hofn, Iceland",earthquake
2014-08-24T20:21:29.160Z,-55.3868,-28.5415,49.33,5.4,mb,,67,4.725,1.24,us,usb000s5w9,2014-08-24T23:50:48.425Z,"168km NNW of Visokoi Island, ",earthquake
2014-08-24T19:43:31.190Z,37.6685,30.593,10,5.2,mb,,43,0.186,1.07,us,usb000s5w4,2014-08-27T21:43:17.000Z,"5km ENE of Aglasun, Turkey",earthquake
2014-08-24T19:01:59.240Z,51.6226,177.0943,70.34,4.5,mb,,186,1.4,1.08,us,usb000s5vx,2014-08-25T00:08:15.186Z,"63km SSW of Kiska Volcano, Alaska",earthquake
